,id,width,height,initialFrame,finalFrame,numFrames,class,drivingDirection,traveledDistance,minDHW,minTHW,minTTC,min_xVelocity,max_xVelocity,mean_xVelocity,min_yVelocity,max_yVelocity,mean_yVelocity,min_xAcceleration,max_xAcceleration,mean_xAcceleration,min_yAcceleration,max_yAcceleration,mean_yAcceleration,min_frontSightDistance,max_frontSightDistance,min_backSightDistance,max_backSightDistance,min_precedingXVelocity,max_precedingXVelocity,mean_laneId,numLaneChanges
676,677,4.35,1.92,7625,7933,309,1,2,411.2,66.68,1.9,79.56,31.09,36.06,33.4,-0.07,0.17,0.01,0.21,0.52,0.4,-0.11,0.05,-0.01,-2.48,407.47,4.14,414.09,0.0,34.25,7.0,0
677,678,21.63,2.5,7626,8056,431,0,1,408.75,77.89,2.94,289.77,-26.48,-22.08,-23.79,-0.17,0.12,-0.02,0.14,0.77,0.26,-0.07,0.08,-0.0,-10.97,399.24,12.38,422.58,-26.21,0.0,2.0,0
678,679,5.26,2.22,7637,7925,289,1,1,410.91,19.36,0.52,-1.0,-36.97,-35.02,-35.68,-0.14,0.18,-0.04,-0.05,0.53,0.17,-0.13,0.09,-0.0,-2.68,407.27,4.35,414.3,-37.82,0.0,4.0,0
679,680,4.45,1.82,7647,7965,319,1,2,410.61,22.72,0.76,-1.0,29.91,35.14,32.3,-0.13,0.17,-0.0,0.1,0.5,0.41,-0.07,0.06,-0.0,-2.17,407.37,4.24,413.79,0.0,36.06,7.0,0
680,681,17.99,2.5,7649,8055,407,0,1,408.45,20.78,0.84,-1.0,-26.99,-23.41,-25.16,-0.06,0.18,0.03,0.14,0.26,0.22,-0.05,0.04,-0.0,-8.84,400.1,11.52,420.46,-35.06,0.0,3.0,0
681,682,4.35,1.82,7663,7992,330,1,1,408.9,32.0,0.98,-1.0,-32.55,-29.1,-31.08,-0.97,0.53,-0.27,-0.08,0.38,0.26,-0.3,0.28,-0.03,-1.87,405.96,5.66,413.49,-36.47,0.0,3.69,1
682,683,4.04,1.72,7700,8080,381,1,1,408.34,21.09,0.84,12.81,-29.49,-24.91,-26.88,-0.15,0.19,0.0,0.14,0.65,0.3,-0.13,0.1,0.01,-1.52,406.21,5.41,413.13,-26.58,0.0,3.0,0
683,684,4.85,1.82,7701,8009,309,1,2,409.29,55.37,1.66,44.26,31.8,35.63,33.24,-0.07,0.17,0.02,0.07,0.61,0.31,-0.08,0.02,-0.02,-1.82,406.36,5.26,413.44,0.0,35.14,7.0,0
684,685,4.85,2.02,7705,7969,265,1,2,411.48,111.76,2.83,-1.0,36.35,42.46,39.0,-0.19,0.13,-0.03,0.21,0.81,0.58,-0.11,0.08,0.0,-2.37,407.78,3.84,413.99,0.0,40.85,6.0,0
685,686,4.04,1.72,7721,7984,264,1,2,411.85,19.48,0.51,642.92,36.13,42.81,39.18,-0.15,0.09,-0.01,0.35,0.88,0.64,-0.08,0.11,0.01,-1.67,408.74,2.88,413.28,0.0,42.46,6.0,0
686,687,4.35,2.02,7721,8073,353,1,1,404.07,11.23,0.38,2.96,-30.78,-27.79,-28.71,-0.08,1.07,0.29,-0.51,0.28,-0.16,-0.26,0.41,0.02,3.33,407.68,3.94,408.28,-34.21,0.0,3.24,1
687,688,12.43,2.5,7728,8157,430,0,1,408.08,80.22,3.44,66.97,-24.49,-22.97,-23.79,-0.07,0.14,0.0,0.0,0.18,0.09,-0.03,0.09,0.01,-6.16,402.98,8.64,417.78,-24.68,0.0,2.0,0
688,689,14.35,2.5,7734,8144,411,0,2,409.31,233.81,10.09,-1.0,23.15,26.99,24.97,-0.43,0.07,-0.02,0.17,0.29,0.23,-0.06,0.18,0.02,-8.29,402.67,8.94,419.9,0.0,27.18,8.0,0
689,690,4.75,1.92,7750,8015,266,1,2,402.91,36.61,1.06,-1.0,34.4,42.47,38.04,-0.14,0.06,-0.03,0.33,1.11,0.76,-0.08,0.07,0.0,4.5,407.73,3.89,407.12,0.0,42.81,6.0,0
690,691,4.85,2.02,7754,8109,356,1,1,409.86,26.25,0.93,10.64,-30.28,-28.08,-28.87,-0.11,0.82,0.25,-0.34,0.59,0.09,-0.16,0.25,0.01,-1.36,407.42,4.19,412.98,-30.78,0.0,3.27,1
691,692,4.85,1.82,7760,8053,294,1,1,410.44,98.55,2.83,21.64,-37.05,-33.55,-35.04,-0.14,0.22,0.01,0.11,0.54,0.3,-0.05,0.1,0.02,-1.52,407.83,3.79,413.13,-35.23,0.0,4.0,0
692,693,4.75,1.82,7778,8133,356,1,1,408.39,13.88,0.49,8.33,-32.14,-27.67,-28.77,-0.11,0.13,-0.02,-0.07,0.87,0.31,-0.06,0.11,0.0,-1.72,405.91,5.71,413.34,-29.89,0.0,3.0,0
693,694,4.24,1.82,7785,8223,439,1,1,410.23,50.96,2.1,54.44,-25.37,-22.3,-23.42,-0.17,0.18,-0.02,-0.08,0.34,0.17,-0.08,0.08,-0.0,-1.36,408.28,3.33,412.98,-24.38,0.0,2.0,0
694,695,3.84,1.82,7804,8120,317,1,2,411.47,71.9,2.35,-1.0,30.57,34.99,32.57,-0.19,0.85,0.15,0.21,0.43,0.35,-0.26,0.11,-0.05,-1.62,408.84,2.78,413.23,0.0,35.99,6.96,1
695,696,3.54,1.72,7820,8252,433,1,1,409.15,21.19,0.92,21.27,-25.35,-22.03,-23.69,-0.18,0.2,-0.01,0.05,0.33,0.19,-0.11,0.1,-0.0,-1.47,407.22,4.4,413.08,-24.98,0.0,2.0,0
696,697,4.95,1.92,7828,8108,281,1,2,411.27,104.49,3.04,-1.0,34.31,39.13,36.75,-0.04,0.06,0.01,0.19,0.6,0.43,-0.04,0.03,-0.0,-2.32,407.47,4.14,413.94,0.0,42.47,6.0,0
697,698,4.04,1.82,7832,8155,324,1,1,409.42,47.99,1.63,29.23,-35.4,-28.05,-31.7,-0.08,0.15,0.01,0.08,0.88,0.57,-0.03,0.05,0.01,-1.11,407.52,4.09,412.73,-35.88,0.0,4.0,0
698,699,4.75,2.02,7848,8156,309,1,2,411.73,22.75,0.73,70.81,30.93,36.35,33.44,-0.04,0.97,0.3,0.3,0.55,0.44,-0.34,0.4,-0.01,-2.58,407.83,3.79,414.19,0.0,36.59,6.69,1
699,700,14.35,2.93,7848,8255,408,1,2,411.68,15.24,0.62,-1.0,23.51,27.23,25.3,-0.09,0.92,0.21,0.15,0.29,0.23,-0.25,0.29,0.02,-7.88,403.33,8.29,419.5,0.0,36.27,7.16,1
700,701,4.85,1.92,7852,8285,434,1,1,409.64,24.18,1.06,46.48,-25.57,-21.89,-23.66,-0.08,0.08,-0.02,0.01,0.41,0.21,-0.05,0.06,-0.0,-2.22,407.07,4.55,413.84,-25.27,0.0,2.0,0
701,702,4.55,1.92,7856,8208,353,1,1,410.23,79.31,2.81,40.01,-30.51,-27.97,-29.15,-0.09,0.12,-0.0,-0.02,0.32,0.18,-0.06,0.08,0.0,-1.82,407.52,4.09,413.44,-29.97,0.0,3.0,0
702,703,4.45,1.92,7866,8173,308,1,2,411.26,17.48,0.56,-1.0,30.73,36.27,33.51,-0.09,0.67,0.3,0.34,0.56,0.45,-0.21,0.17,0.02,-2.22,407.78,3.84,413.84,0.0,39.01,6.23,1
703,704,19.61,2.5,7874,8292,419,0,2,411.19,15.6,0.61,-1.0,23.0,26.65,24.61,-0.09,0.09,-0.01,0.02,0.29,0.22,-0.06,0.05,-0.01,-11.07,399.89,11.72,422.68,0.0,27.23,8.0,0
704,705,4.55,2.02,7890,8185,296,1,1,408.86,32.47,1.03,9.73,-39.29,-30.37,-34.67,-0.11,0.26,0.01,0.47,0.97,0.76,-0.07,0.13,0.03,-1.26,406.77,4.85,412.88,-34.7,0.0,4.0,0
705,706,4.45,1.92,7890,8251,362,1,1,410.07,37.04,1.24,458.75,-29.75,-27.55,-28.41,-0.13,0.19,0.03,-0.22,0.65,0.14,-0.07,0.12,-0.0,-1.52,407.78,3.84,413.13,-30.48,0.0,3.0,0
706,707,5.05,1.92,7908,8200,293,1,1,411.05,12.84,0.4,10.22,-38.97,-31.38,-35.21,-0.23,0.12,0.02,0.1,1.01,0.65,-0.12,0.09,-0.02,-2.32,407.68,3.94,413.94,-38.86,0.0,4.0,0
707,708,4.04,1.82,7927,8344,418,1,1,409.71,50.13,2.14,33.28,-26.16,-22.83,-24.57,-0.11,0.19,-0.01,-0.06,0.27,0.2,-0.08,0.09,-0.0,-1.82,407.17,4.45,413.44,-25.1,0.0,2.0,0
708,709,17.48,2.5,7934,8324,391,0,2,387.15,37.82,1.53,1026.46,23.05,26.51,24.83,-0.22,0.28,-0.02,0.13,0.29,0.22,-0.21,0.14,0.01,11.77,401.06,10.56,399.84,0.0,26.65,8.0,0
709,710,4.55,1.92,7937,8297,361,1,1,410.79,44.34,1.57,34.6,-30.59,-27.4,-28.54,-0.15,0.15,0.02,0.0,0.53,0.22,-0.07,0.12,0.01,-2.02,408.08,3.54,413.64,-29.26,0.0,3.0,0
710,711,4.65,1.92,7938,8226,289,1,2,410.45,78.8,2.21,45.94,34.01,38.29,35.65,-0.15,0.04,-0.04,0.13,0.59,0.37,-0.04,0.06,0.0,-1.11,408.13,3.49,412.73,0.0,39.13,6.0,0
711,712,4.85,1.82,7940,8253,314,1,2,403.16,22.66,0.7,6.41,30.03,34.88,32.22,-0.7,1.13,-0.08,0.22,0.51,0.39,-0.17,0.54,0.1,4.65,408.13,3.49,406.97,0.0,38.29,6.61,2
712,713,4.55,1.82,7976,8315,340,1,2,410.06,16.73,0.56,3.5,24.43,35.98,30.26,-1.14,0.17,-0.32,0.64,0.99,0.85,-0.39,0.31,-0.0,-1.87,406.82,4.8,413.49,0.0,34.88,7.45,1
713,714,8.39,2.5,8015,8412,398,0,1,406.89,59.64,2.43,35.57,-27.4,-24.03,-25.63,-0.28,0.24,-0.05,-0.01,0.32,0.21,-0.13,0.19,-0.01,-3.49,405.15,6.47,415.1,-25.62,0.0,2.0,0
714,715,5.05,1.92,8016,8284,269,1,1,409.93,86.97,2.18,8.11,-40.0,-35.94,-38.26,-0.04,0.72,0.24,-0.1,0.56,0.37,-0.12,0.04,-0.06,-1.92,406.87,4.75,413.54,-36.14,0.0,3.98,1
715,716,4.14,1.82,8040,8465,426,1,2,409.42,60.78,2.66,-1.0,22.78,25.56,24.09,-0.1,0.13,0.01,0.07,0.24,0.16,-0.05,0.08,0.01,-1.47,407.07,4.55,413.08,0.0,29.69,8.0,0
716,717,5.26,1.92,8065,8382,318,1,2,408.67,79.33,2.5,38.67,30.2,34.96,32.25,-0.08,0.06,0.0,0.2,0.56,0.38,-0.03,0.03,0.0,-2.37,405.35,6.27,413.99,0.0,35.98,7.0,0
717,718,4.75,1.82,8067,8343,277,1,2,409.78,130.93,3.52,45.24,34.88,40.83,37.14,-0.16,0.09,-0.03,0.2,0.91,0.54,-0.05,0.09,-0.0,-1.72,406.77,4.85,413.34,0.0,35.79,6.0,0
718,719,7.23,2.02,8079,8364,286,1,2,409.69,9.25,0.28,-1.0,33.18,39.03,35.97,-0.9,0.17,-0.13,0.01,0.84,0.51,-0.06,0.3,0.08,-3.03,405.45,6.16,414.65,0.0,40.83,6.0,0
719,720,4.95,1.92,8084,8361,278,1,1,410.37,83.35,2.36,10.67,-40.46,-33.94,-37.05,-0.09,0.18,-0.0,0.34,0.84,0.59,-0.11,0.05,-0.01,-1.82,407.37,4.24,413.44,-28.96,0.0,3.0,0
720,721,4.65,1.92,8090,8507,418,1,2,411.88,38.15,1.47,69.63,22.9,26.13,24.71,-0.17,0.07,-0.03,0.02,0.36,0.19,-0.07,0.07,0.0,-2.43,408.43,3.18,414.04,0.0,25.56,8.0,0
721,722,5.05,1.92,8114,8407,294,1,2,409.57,40.35,1.21,-1.0,33.27,36.85,34.97,-0.07,0.06,0.0,0.15,0.41,0.31,-0.04,0.04,0.0,-2.68,405.5,6.11,414.3,0.0,39.03,6.0,0
722,723,4.95,2.02,8128,8431,304,1,2,410.97,65.55,1.84,66.4,31.56,36.48,33.93,-0.19,0.06,-0.02,0.29,0.46,0.41,-0.04,0.08,0.02,-2.02,407.68,3.94,413.64,0.0,34.96,7.0,0
723,724,4.35,1.82,8174,8490,317,1,1,409.91,137.46,3.96,-1.0,-34.66,-30.97,-32.44,-0.25,0.15,-0.01,0.09,0.53,0.29,-0.09,0.06,-0.02,-1.47,407.42,4.19,413.08,-38.16,0.0,3.0,0
724,725,5.26,2.12,8187,8481,295,1,2,411.26,67.71,1.86,159.34,32.83,37.49,34.99,-0.2,0.05,-0.06,0.2,0.57,0.4,-0.03,0.09,0.01,-3.08,407.12,4.5,414.7,0.0,36.48,7.0,0
725,726,3.84,1.72,8189,8497,309,1,1,404.59,106.33,3.39,14.54,-37.19,-30.89,-32.85,-0.24,0.36,-0.0,0.07,1.25,0.51,-0.17,0.31,0.0,3.59,408.54,3.08,408.03,-25.68,0.0,2.0,0
726,727,4.55,1.82,8216,8512,297,1,2,411.22,42.18,1.13,4.48,31.96,37.87,34.76,-0.78,0.05,-0.32,0.21,0.72,0.5,-0.26,0.16,-0.01,-2.43,407.63,3.99,414.04,0.0,37.49,7.65,1
727,728,4.95,2.02,8240,8530,291,1,2,411.94,21.93,0.58,213.2,33.06,38.36,35.54,-0.14,0.18,-0.01,0.34,0.54,0.46,-0.06,0.11,0.0,-2.78,407.88,3.74,414.12,0.0,37.87,7.0,0
728,729,6.16,2.22,8265,8624,360,1,1,407.9,100.4,3.59,-1.0,-28.86,-27.75,-28.42,-0.16,0.17,-0.01,-0.19,0.33,0.02,-0.1,0.13,0.0,-2.11,405.0,6.62,413.69,-34.07,0.0,2.0,0
729,730,4.55,1.82,8273,8598,326,1,1,408.72,125.89,3.83,188.56,-33.48,-29.79,-31.45,-0.14,0.02,-0.05,0.19,0.44,0.28,-0.06,0.04,0.0,-1.97,406.11,5.51,413.54,-32.97,0.0,3.0,0
730,731,5.15,1.92,8285,8602,318,1,2,411.27,54.67,1.78,-1.0,30.75,33.77,32.45,-0.36,0.08,-0.01,0.01,0.47,0.24,-0.06,0.16,0.02,-2.32,407.73,3.89,413.85,0.0,38.36,7.0,0
731,732,4.85,1.92,8315,8605,291,1,1,402.94,12.31,0.37,3.37,-37.33,-33.41,-34.75,-0.16,0.92,0.07,-0.01,0.65,0.34,-0.08,0.38,0.08,4.6,407.93,3.69,406.97,-33.02,0.0,3.0,0
732,733,7.48,2.32,8328,8643,316,1,2,411.03,44.78,1.37,166.61,31.28,33.84,32.64,-0.11,0.11,0.01,-0.01,0.4,0.2,-0.07,0.06,-0.0,-3.13,406.67,4.95,414.56,0.0,33.77,7.0,0
733,734,4.85,1.92,8394,8682,289,1,2,409.19,386.63,11.73,-1.0,32.86,38.09,35.53,-0.17,0.09,0.01,0.32,0.65,0.45,-0.11,0.08,0.0,-1.41,406.61,5.0,412.78,0.0,36.85,6.0,0
734,735,5.56,2.02,8419,8700,282,1,2,409.85,20.32,0.54,18.86,34.78,38.42,36.49,-0.13,0.12,0.02,0.2,0.49,0.32,-0.13,0.03,-0.01,-3.03,405.6,6.01,414.32,0.0,38.09,6.0,0
735,736,4.65,1.82,8449,8734,286,1,2,410.92,39.55,1.17,50.32,33.81,38.08,36.08,-0.0,1.81,0.71,0.18,0.57,0.37,-0.46,0.58,-0.01,-1.16,408.54,3.08,412.16,0.0,36.19,7.24,2
736,737,8.08,2.12,8449,8812,364,1,2,409.85,14.97,0.51,-1.0,26.21,30.31,28.25,0.03,0.78,0.26,0.15,0.35,0.28,-0.18,0.25,-0.0,-3.44,405.5,6.11,414.54,0.0,40.37,7.56,1
737,738,3.94,1.72,8454,8765,312,1,1,408.23,191.66,5.51,277.8,-35.08,-30.91,-32.83,-0.2,0.07,-0.06,0.18,0.44,0.33,-0.1,0.11,0.01,-0.79,406.72,4.9,412.17,-34.39,0.0,3.0,0
738,739,13.44,2.5,8459,8883,425,0,2,410.82,21.01,0.88,-1.0,22.5,26.0,24.23,-0.14,0.16,0.0,0.1,0.27,0.21,-0.08,0.08,0.01,-8.08,403.38,8.24,418.47,0.0,36.33,8.0,0
739,740,4.75,1.92,8485,8775,291,1,2,410.61,27.27,0.88,6.92,30.18,40.37,35.42,-1.14,1.61,0.37,0.36,1.18,0.88,-0.66,0.56,0.09,-2.53,406.82,4.8,413.53,0.0,38.08,6.75,3
740,741,10.21,2.5,8493,8921,429,0,1,405.95,247.94,9.8,-1.0,-25.29,-22.31,-23.72,-0.1,0.17,-0.0,0.07,0.26,0.17,-0.1,0.08,-0.01,-5.24,403.23,8.39,415.81,-28.86,0.0,2.0,0
741,742,5.15,2.12,8505,8810,306,1,1,409.42,52.35,1.62,31.27,-35.43,-31.51,-33.57,-0.23,0.17,-0.08,0.14,0.48,0.32,-0.1,0.08,-0.01,-1.5,407.42,4.19,412.88,-34.42,0.0,3.0,0
742,743,4.85,1.92,8511,8897,387,1,2,410.28,29.61,1.13,23.81,24.34,31.78,26.59,-1.19,0.09,-0.26,-0.07,0.84,0.48,-0.48,0.34,0.01,-2.02,406.97,4.65,412.39,0.0,38.81,7.55,1
743,744,4.65,2.02,8538,8843,306,1,1,409.87,37.58,1.14,30.36,-34.73,-32.61,-33.62,-0.12,0.02,-0.06,0.09,0.3,0.17,-0.06,0.06,0.0,-2.15,407.02,4.45,413.39,-34.98,0.0,3.0,0
744,745,5.05,1.92,8538,8931,394,1,2,410.17,21.56,0.87,20.66,24.29,28.19,26.1,-0.17,0.09,-0.0,-0.17,0.96,0.22,-0.02,0.06,0.01,-1.82,407.52,3.78,411.9,0.0,26.08,8.0,0
745,746,9.8,2.5,8542,8966,425,0,1,406.02,30.42,1.33,48.69,-25.65,-22.17,-23.95,-0.21,0.17,-0.03,0.15,0.35,0.21,-0.12,0.12,-0.01,-4.93,403.52,7.98,415.61,-25.01,0.0,2.0,0
746,747,4.65,2.02,8547,8826,280,1,1,407.75,-1.0,-1.0,-1.0,-38.38,-34.64,-36.56,-0.23,0.26,-0.1,0.01,0.54,0.33,-0.12,0.08,-0.02,-2.0,404.91,6.47,413.34,0.0,0.0,4.0,0
747,748,4.65,1.92,8550,8834,285,1,2,409.33,74.64,2.11,13.08,34.08,38.81,36.05,-0.07,0.26,0.08,0.17,0.69,0.42,-0.05,0.08,0.02,-1.41,406.67,4.59,412.47,0.0,38.81,7.0,0
748,749,4.95,1.82,8569,8887,319,1,1,407.61,37.1,1.13,-1.0,-32.87,-31.75,-32.05,-0.12,0.05,-0.04,-0.08,0.37,0.09,-0.05,0.07,0.01,-1.15,406.41,5.05,411.97,-34.44,0.0,3.0,0
749,750,4.75,2.02,8584,8848,265,1,2,409.18,114.86,3.05,49.16,36.15,41.51,38.77,-0.05,0.18,0.04,0.38,0.59,0.51,-0.04,0.08,0.01,-1.87,405.91,5.55,412.72,0.0,38.42,6.0,0
750,751,8.29,2.5,8590,9011,422,0,1,406.72,32.41,1.39,31.41,-25.17,-22.87,-24.16,-0.17,0.06,-0.04,0.06,0.2,0.14,-0.06,0.05,0.0,-4.38,404.16,7.38,415.26,-25.27,0.0,2.0,0
751,752,5.15,2.02,8595,8907,313,1,1,408.79,70.14,1.98,-1.0,-35.29,-30.65,-32.76,-0.17,0.09,-0.04,0.24,0.47,0.37,-0.1,0.09,0.01,-1.98,406.75,4.75,412.53,-38.14,0.0,4.0,0
752,753,4.65,1.82,8608,8874,267,1,2,410.32,30.08,0.78,85.16,36.26,41.76,38.59,-0.21,0.22,-0.01,-0.25,1.02,0.52,-0.08,0.09,0.02,-2.58,406.26,5.19,413.22,0.0,41.51,6.0,0
753,754,4.85,1.82,8627,8933,307,1,1,401.2,58.83,1.82,27.54,-34.7,-30.97,-32.79,-0.13,0.29,-0.02,0.18,0.38,0.3,-0.09,0.14,0.02,4.41,406.92,4.65,406.16,-32.39,0.0,3.0,0
754,755,4.85,1.82,8633,8920,288,1,2,408.77,30.75,0.93,-1.0,32.97,38.43,35.63,-0.01,0.17,0.03,0.4,0.53,0.48,-0.06,0.02,-0.01,-2.17,405.3,6.23,412.34,0.0,41.76,6.0,0
755,756,4.75,1.92,8636,8952,317,1,2,411.21,72.37,2.09,19.11,29.15,35.22,32.55,-0.06,0.13,0.04,0.27,0.79,0.48,-0.07,0.06,-0.01,-1.72,408.33,3.1,411.89,0.0,36.38,7.0,0
756,757,5.66,2.02,8645,8980,336,1,2,410.9,10.44,0.36,22.91,27.17,33.64,30.68,-0.72,0.16,-0.25,0.36,0.68,0.48,-0.15,0.2,0.04,-2.27,407.42,3.99,412.54,0.0,35.22,7.24,1
757,758,9.4,2.5,8655,9079,425,0,1,405.47,53.14,2.18,152.95,-25.24,-22.35,-23.91,-0.17,0.18,-0.02,-0.02,0.25,0.17,-0.05,0.09,0.02,-4.07,403.31,8.24,415.15,-25.0,0.0,2.0,0
758,759,4.24,1.92,8701,9007,307,1,2,407.65,33.77,0.97,12.6,32.63,35.12,33.32,-0.16,0.35,0.03,-0.21,0.52,0.15,-0.15,0.14,-0.02,-1.31,405.3,5.85,411.68,0.0,33.64,7.0,0
759,760,4.45,1.82,8704,8985,282,1,1,409.32,104.25,2.95,22.16,-39.16,-33.95,-36.44,-0.14,0.18,-0.04,0.34,0.64,0.46,-0.06,0.08,-0.01,-0.93,408.04,3.28,411.42,-33.39,0.0,4.0,0
760,761,4.85,2.12,8706,9015,310,1,1,409.22,89.62,2.81,43.54,-36.13,-31.14,-33.13,-0.21,0.09,-0.04,0.07,0.58,0.4,-0.12,0.05,0.01,-2.3,406.47,4.9,413.08,-33.76,0.0,3.0,0
761,762,4.35,1.92,8715,9044,330,1,2,409.45,71.98,2.35,30.92,30.59,31.49,31.13,-0.06,0.13,0.04,-0.07,0.28,0.06,-0.06,0.03,0.0,-2.02,406.21,4.89,412.39,0.0,29.11,8.0,0
762,763,18.49,2.5,8718,9130,413,0,1,407.66,27.12,1.16,25.57,-26.24,-23.06,-24.74,-0.18,0.13,-0.02,-0.01,0.34,0.19,-0.07,0.05,0.02,-9.5,399.05,12.38,420.86,-24.98,0.0,2.0,0
763,764,4.75,1.92,8732,9041,310,1,1,409.84,27.92,0.88,34.86,-35.2,-31.33,-33.17,-0.17,0.11,-0.03,0.2,0.45,0.31,-0.1,0.13,0.0,-2.16,407.07,4.24,413.03,-35.6,0.0,3.0,0
764,765,4.75,2.02,8735,9020,286,1,1,410.55,40.47,1.13,73.52,-38.06,-33.29,-36.03,-0.2,0.12,-0.05,0.0,0.76,0.42,-0.08,0.13,0.02,-2.34,407.67,3.59,413.03,-38.6,0.0,4.0,0
765,766,17.18,2.5,8752,9137,386,0,1,386.89,12.43,0.51,22.92,-26.71,-23.75,-25.13,-0.11,0.67,0.22,0.12,0.25,0.19,-0.1,0.2,0.03,10.33,399.36,12.03,401.01,-31.64,0.0,2.24,1
766,767,4.75,1.92,8753,9051,299,1,2,403.61,14.22,0.39,2.77,31.52,36.88,33.88,-1.01,0.21,-0.22,0.18,0.65,0.45,-0.33,0.19,-0.07,3.69,407.63,3.37,406.65,0.0,31.49,7.96,1
767,768,7.58,2.22,8768,9071,304,1,1,398.38,41.27,1.24,123.78,-34.04,-31.45,-32.89,-0.27,0.28,-0.04,0.05,0.35,0.21,-0.11,0.18,0.03,5.88,405.01,6.32,405.0,-34.83,0.0,3.0,0
768,769,4.85,1.92,8770,9055,286,1,1,408.49,45.05,1.25,26.29,-37.67,-34.88,-35.85,-0.21,0.01,-0.09,0.07,0.5,0.24,-0.07,0.1,-0.01,-1.17,406.67,4.65,411.92,-37.95,0.0,4.0,0
769,770,4.65,1.92,8772,9011,240,1,2,410.48,157.04,3.61,30.92,40.56,45.75,42.98,-0.08,0.19,0.08,0.24,0.64,0.54,-0.03,0.07,0.03,-2.53,406.51,4.69,412.98,0.0,38.43,6.0,0
770,771,5.05,2.02,8791,9074,284,1,1,409.21,19.86,0.56,5.48,-38.39,-33.98,-36.17,-0.06,0.99,0.24,0.31,0.52,0.39,-0.22,0.07,-0.07,-2.25,406.86,4.5,413.03,-36.98,0.0,3.94,1
771,772,4.55,1.82,8831,9119,289,1,2,411.49,89.19,2.42,100.99,33.74,37.89,35.74,-0.08,0.08,0.02,0.24,0.43,0.36,-0.04,0.06,-0.0,-2.48,407.88,3.19,413.45,0.0,36.88,7.0,0
772,773,4.45,1.92,8861,9106,246,1,1,408.05,43.17,1.13,9.43,-45.46,-36.93,-41.65,-0.2,0.05,-0.06,0.51,1.08,0.87,-0.08,0.08,-0.01,-1.77,405.23,5.71,412.93,-37.32,0.0,4.0,0
773,774,3.84,1.92,8880,9220,341,1,2,410.6,160.58,5.44,-1.0,29.5,31.14,30.2,-0.17,0.14,0.01,0.01,0.22,0.12,-0.05,0.08,0.02,-1.41,408.13,2.37,412.73,0.0,36.54,8.0,0
774,775,5.26,2.12,8881,9163,283,1,1,407.67,47.15,1.31,4.07,-37.87,-34.49,-36.16,-0.13,0.87,0.32,0.18,0.38,0.3,-0.23,0.28,0.01,-2.46,404.0,6.92,413.79,-38.99,0.0,3.39,1
775,776,4.65,1.92,8901,9184,284,1,1,408.96,23.56,0.65,5.39,-38.49,-33.87,-36.14,-0.16,0.93,0.28,0.3,0.6,0.41,-0.29,0.32,0.01,-1.34,405.76,4.85,412.73,-37.71,0.0,3.33,1
776,777,4.45,1.82,8915,9241,327,1,2,410.49,22.83,0.71,21.55,31.07,32.17,31.49,-0.06,0.1,0.03,-0.08,0.2,0.08,-0.06,0.06,0.0,-1.57,408.08,2.01,412.98,0.0,31.14,8.0,0
777,778,5.15,1.82,8927,9160,234,1,2,411.02,257.13,5.86,-1.0,43.1,45.18,44.14,-0.2,0.13,0.05,-0.18,0.53,0.22,-0.15,0.05,-0.03,-1.47,408.28,1.99,412.66,0.0,45.75,6.0,0
778,779,5.05,2.12,8931,9240,310,1,2,410.05,132.83,4.16,-1.0,31.93,35.06,33.19,-0.09,0.21,0.04,0.1,0.39,0.25,-0.12,0.08,-0.0,-1.26,407.78,2.4,412.69,0.0,37.89,7.0,0
779,780,5.15,2.12,8942,9210,269,1,1,401.17,38.99,1.08,6.79,-39.23,-35.56,-37.44,-0.13,0.87,0.28,0.16,0.48,0.34,-0.13,0.33,0.06,3.86,404.65,5.91,407.52,-37.83,0.0,3.18,1
780,781,3.44,1.72,8953,9242,290,1,2,410.44,13.46,0.37,4.32,32.82,38.11,35.52,-1.1,0.15,-0.39,0.21,0.82,0.46,-0.45,0.28,0.0,-1.47,407.78,2.39,412.92,0.0,45.18,6.58,1
781,782,6.57,2.32,8981,9261,281,1,1,409.89,55.88,1.44,861.51,-38.86,-34.71,-36.61,-0.19,0.09,-0.04,0.22,0.54,0.37,-0.11,0.11,0.02,-2.52,405.62,5.05,414.09,-38.89,0.0,3.0,0
782,783,5.36,2.02,9027,9346,320,1,2,410.66,130.86,4.06,192.49,31.46,32.94,32.2,-0.06,0.13,0.03,-0.06,0.31,0.12,-0.07,0.04,-0.01,-1.97,407.68,2.61,412.76,0.0,32.17,8.0,0
783,784,3.94,1.82,9033,9322,290,1,1,410.53,75.31,2.0,154.2,-38.42,-32.92,-35.53,-0.13,0.01,-0.07,0.27,0.63,0.48,-0.05,0.06,-0.0,-1.35,407.63,3.13,412.73,-38.18,0.0,3.0,0
784,785,4.04,1.82,9084,9381,298,1,1,409.42,73.38,2.05,130.31,-35.79,-32.84,-34.48,-0.18,0.17,-0.04,0.12,0.35,0.25,-0.14,0.2,0.01,-2.03,407.75,3.33,411.82,-37.59,0.0,3.0,0
785,786,3.94,1.82,9095,9379,285,1,1,408.74,10.59,0.29,14.52,-36.05,-35.93,-36.0,-0.14,1.0,0.26,-0.06,0.05,0.0,-0.32,0.42,0.0,-0.85,407.98,3.18,410.81,-36.21,0.0,3.76,1
